,bert-base-uncased,xlm-roberta-base,bert-base-multilingual-cased,allenai/longformer-base-4096,microsoft/deberta-base,distilbert-base-multilingual-cased,roberta-base,xlnet-base-cased,google/electra-base-discriminator,distilroberta-base,distilbert-base-uncased,albert-base-v2
bert-base-uncased,,0.7079326798672834,0.6074492147927626,0.7666194947761866,0.7898173229106065,0.7083637845324209,0.7575602211949436,0.7443307813248744,0.80505800383656,0.7781373762709098,0.9227379235042118,0.8024369649609575
xlm-roberta-base,0.6189510766223127,,0.6017921270156301,0.7647392965123051,0.7772268959356097,0.7293614362145924,0.7613073430905039,0.7740098807365544,0.7629741092254054,0.7942226335792686,0.685456614030677,0.7962099026084588
bert-base-multilingual-cased,0.6621462289878446,0.7375091306767683,,0.7573982654932347,0.7727054778824454,0.8500436171210674,0.7501829802977131,0.7664145355559486,0.7712216678893181,0.7793242715978084,0.7294814307918622,0.7879193921393863
allenai/longformer-base-4096,0.7000918877412428,0.7480201965965962,0.619326154396949,,0.8516274314377612,0.7325807407875331,0.9607095944818657,0.7937632428640036,0.7996319644975837,0.9177034685668712,0.7638970618799545,0.8153078686087727
microsoft/deberta-base,0.6992326432484113,0.7460628250522714,0.6204852258246427,0.8324802687584386,,0.7349285829399334,0.8253914121988051,0.798161763188138,0.8105731006158338,0.8526713820175469,0.7617089318077679,0.8177689075505835
distilbert-base-multilingual-cased,0.6451868448239353,0.7522491463223208,0.74345924480131,0.7561389468050892,0.7697533180582651,,0.7513170746186095,0.7650919560341943,0.7617239685352251,0.7879207267930756,0.7212114998868309,0.7924339149978236
roberta-base,0.6917061688415856,0.7474547424305057,0.614253390283926,0.9613379037960834,0.8475466439080717,0.729861990186992,,0.791567680938924,0.7967879375242176,0.9208640894482261,0.7561804244656477,0.8142980939210978
xlnet-base-cased,0.621989403820528,0.681100946363908,0.5642066621034456,0.7415414086383947,0.7638284846264902,0.6722319978948478,0.7319831384656157,,0.7349359464856816,0.7596718833165819,0.68415974825382,0.7611903443497212
google/electra-base-discriminator,0.5365735027067955,0.6522658890193677,0.47926413466572304,0.6911787572738148,0.6936849056994313,0.5726085335913909,0.6857027132665385,0.7342154481988011,,0.6966646886717832,0.5857582240272488,0.7335243656520851
distilroberta-base,0.682239678136236,0.756179290122494,0.6226442869568596,0.8981644400472089,0.8448967620748564,0.7458861151474871,0.9015815845337849,0.7944268349262613,0.7846681318835312,,0.7521462888209975,0.8178239993603961
distilbert-base-uncased,0.8954182111407469,0.7295781746898247,0.6303094908908831,0.7843888072445474,0.8056258034565171,0.7385305213771698,0.7758855423776144,0.7597728724115385,0.8122825975255433,0.8016062986826502,,0.8213138530509996
albert-base-v2,0.6374981979650374,0.725271471893291,0.5778929764146123,0.7553655259088101,0.7710383402612014,0.6966258818797274,0.7504326049991196,0.7748254246899223,0.7982358368919237,0.7777589912724638,0.7054328749784022,
