,bert-base-uncased,xlm-roberta-base,bert-base-multilingual-cased,allenai/longformer-base-4096,microsoft/deberta-base,distilbert-base-multilingual-cased,roberta-base,xlnet-base-cased,google/electra-base-discriminator,distilroberta-base,distilbert-base-uncased,albert-base-v2
bert-base-uncased,,0.9976709601835154,0.6875098999696221,0.9843073387488146,0.9466380730902509,0.8103860731134568,0.9806131424647668,0.9719778672438448,0.9502281993999314,0.9891253561292607,0.9364982133427594,0.9096482133406678
xlm-roberta-base,0.7118093159626213,,0.6774732293972139,0.9842098651543423,0.9437016275576907,0.8151827411604189,0.980587812568773,0.9727841719074984,0.9409015635417858,0.9895508537508888,0.8114645720655441,0.9062077445079081
bert-base-multilingual-cased,0.7241045185253747,0.9979128888465502,,0.9828354725072054,0.9396688077201472,0.8956213660378729,0.9786610649131281,0.9722269153364732,0.9397329962520186,0.9881889131270791,0.8211038823429686,0.8961614087021155
allenai/longformer-base-4096,0.7546769392282588,0.9979307611186474,0.6917827200776809,,0.9620084579599024,0.8210019659385299,0.9960407394221783,0.9734391841652574,0.9462662814860845,0.9959690078030117,0.8469099312472249,0.9121663526514762
microsoft/deberta-base,0.7569993069109217,0.9979312637612998,0.6929451867161394,0.9890465421337087,,0.8219132874653284,0.9860678980544925,0.9732602815005742,0.9461842589672801,0.9930189421368207,0.8484674856117691,0.9121153816660146
distilbert-base-multilingual-cased,0.7395426268003189,0.9981286974064353,0.8173115378043223,0.9844458214296231,0.9454146924959693,,0.9805661892689842,0.9731180959129143,0.942393716430988,0.9896683386610876,0.8394079039156496,0.9077820392711727
roberta-base,0.7501810840977234,0.9979071569716934,0.685928515438528,0.9967776380863929,0.96069564856504,0.8160558027684994,,0.9731196494829132,0.9458730958989127,0.9960003024904794,0.8425849822336835,0.9108155397651096
xlnet-base-cased,0.6549730280121681,0.9973905016982602,0.6118928470685241,0.9793814818523418,0.9258880012263493,0.7471986623843878,0.9747041118030885,,0.9320880997852408,0.9855376918419946,0.7579859274252516,0.8791028009001712
google/electra-base-discriminator,0.7063036624765509,0.9976050509085804,0.6322757656880614,0.9825618472233529,0.9354322485487631,0.7608029973685885,0.9784070996590288,0.9721136936494666,,0.9877156091859168,0.7987662843892948,0.9018255299328883
distilroberta-base,0.754778219693933,0.998023064618697,0.699461468775767,0.9937022145199554,0.962998468292831,0.8310118864354277,0.9921453171488754,0.9737424292901511,0.9462435578347962,,0.8493556663587348,0.9161107618957558
distilbert-base-uncased,0.8941976587472797,0.9978396746241193,0.7092414521221195,0.9857355515431885,0.9512260801760646,0.8329492428678043,0.9822054211693624,0.9727934511408215,0.9529463144097368,0.9903949066156593,,0.9190169984693077
albert-base-v2,0.7336867392235944,0.997808182656198,0.6680558832942759,0.9838573420755193,0.9431141142981786,0.8023372057716667,0.9800728725745463,0.9732607015330769,0.9470239230414298,0.9891338331008966,0.8315459306766665,
