,bert-base-uncased,xlm-roberta-base,bert-base-multilingual-cased,allenai/longformer-base-4096,microsoft/deberta-base,distilbert-base-multilingual-cased,roberta-base,xlnet-base-cased,google/electra-base-discriminator,distilroberta-base,distilbert-base-uncased,albert-base-v2
bert-base-uncased,,0.4696100703262256,0.4347061433584769,0.5531169124666673,0.5589505000909842,0.5387363395441044,0.5328903094167661,0.2443374152094806,0.5134694809199076,0.5816476853926856,0.8310374408442098,0.6013600731249993
xlm-roberta-base,0.3979197209465951,,0.4100605770120561,0.5569136701100724,0.5403681655795558,0.5422035117448714,0.5390298669109417,0.26124428384648213,0.4208459542417692,0.6066801587183577,0.4852879183911417,0.5872327549355371
bert-base-multilingual-cased,0.42490106184580134,0.47861544579521265,,0.513171698677752,0.507410869697579,0.7528166496779112,0.4892643311733299,0.24543948017231676,0.4108976849229907,0.5483648631712659,0.5149347277863027,0.5409944252484118
allenai/longformer-base-4096,0.47937056531042066,0.5344674920680392,0.438417226839911,,0.6863818536128796,0.5610199677290701,0.9059500990437892,0.28003737027465236,0.4726195803125306,0.8457108790685918,0.5750468811317295,0.6158423389017293
microsoft/deberta-base,0.48350711138052793,0.5294484001923065,0.44120286773900397,0.6840004672905728,,0.564475094906269,0.6606287709806657,0.27839880639135794,0.47169512592683915,0.7273082613415015,0.5786959788099375,0.6140709185889499
distilbert-base-multilingual-cased,0.45585901723336386,0.5336187834039292,0.6770105730969731,0.5581778937125245,0.5549582145867342,,0.5340527511520661,0.27119645042249796,0.43406377074473745,0.603843429183191,0.5627799876476915,0.5912198139156386
roberta-base,0.46960091317097674,0.5288873204107795,0.4281559721625733,0.9089008702265211,0.6742841739581615,0.549544953609626,,0.2735936002415462,0.4691425296978834,0.8469613676288471,0.5630137586676709,0.6102710193379319
xlnet-base-cased,0.2818048881085472,0.3907965439644281,0.2924438304223307,0.4200557044448864,0.3964930385267852,0.3804244885305825,0.39824763592892,,0.33933081587840574,0.4544945950366527,0.3434927286834578,0.458267346309182
google/electra-base-discriminator,0.3894154728141287,0.4469414448419039,0.3320607929348174,0.5065493286763112,0.4710912433118535,0.41646313821287373,0.48372172332886343,0.25069575935547894,,0.5310300549524078,0.4542001059025279,0.5665722732852367
distilroberta-base,0.47663464704981984,0.5530782587003132,0.449780162155621,0.8205658111469584,0.6937785951459655,0.5812320343606805,0.8117206708852597,0.29177987879466716,0.46995566951437884,,0.5769878301689004,0.6308722032338059
distilbert-base-uncased,0.7842249125059183,0.5059047660983937,0.4737227338194364,0.5939033188499921,0.5976028562026785,0.5927311689439873,0.5716189525829926,0.2678447525525549,0.5427301249147849,0.6293029678973429,,0.6451850032737699
albert-base-v2,0.44747701462950285,0.5097482418443612,0.4016696049562578,0.5560261310557888,0.542078364065592,0.5210291207303128,0.535460239457789,0.2832613351376254,0.49013591018643465,0.5983417627678851,0.5420135278085225,
