,bert-base-uncased,xlm-roberta-base,bert-base-multilingual-cased,allenai/longformer-base-4096,microsoft/deberta-base,distilbert-base-multilingual-cased,roberta-base,xlnet-base-cased,google/electra-base-discriminator,distilroberta-base,distilbert-base-uncased,albert-base-v2
bert-base-uncased,,0.9999009022871855,0.9928758173086951,0.9989502154045224,0.9973513188325397,0.9950535176689178,0.9989708294717909,0.998056850348216,0.998797681176733,0.9993387748437352,0.9975378905098653,0.995850322102113
xlm-roberta-base,0.9844500545851529,,0.9919305003430954,0.998779714185188,0.996845514801694,0.9948824012543742,0.9988377082479324,0.99828574267473,0.9984719242530774,0.999257221533238,0.9909257790383127,0.9956897007824025
bert-base-multilingual-cased,0.9879567887220555,0.9999271941630516,,0.9988636604442421,0.9970968833139112,0.99737669504287,0.9989027445727697,0.9983228125335666,0.9985900476578057,0.9993086870206664,0.9931421227520253,0.9959081985813849
allenai/longformer-base-4096,0.989329091937282,0.9999150101295894,0.9928782375443794,,0.9980259560786471,0.9952343933309163,0.9997483867686872,0.9984979287236225,0.9988145626204693,0.999705769571731,0.9939443406589179,0.9961470392376625
microsoft/deberta-base,0.9892176135507056,0.9999033049532492,0.9928983947746922,0.9992019480369096,,0.995274489210464,0.9992158467460983,0.9985133174861168,0.9988896886955565,0.9995252549869751,0.9938200711071328,0.9961904239759883
distilbert-base-multilingual-cased,0.9862675110852587,0.9999304810109729,0.9953901337035564,0.9987934261517871,0.9968187586090267,,0.9988477212665982,0.9981608789487463,0.9985121584490213,0.9992901839592766,0.992278361477994,0.9957128851765398
roberta-base,0.9889482737536404,0.9999154487532806,0.9927943856658827,0.9997669481957373,0.9980109440409145,0.9952044013862575,,0.9985314296461476,0.998834319974708,0.9997277302733644,0.9937171489731502,0.9961439236620122
xlnet-base-cased,0.9870482389110209,0.999915472816635,0.9919607147290074,0.998857854166605,0.9971589729176952,0.9944320437427471,0.9988775506976911,,0.9983610685282934,0.999263096590489,0.9922047574548667,0.9956289992473963
google/electra-base-discriminator,0.9792456839797066,0.9998733437397765,0.9879571526785691,0.9984058163716604,0.9957430100058093,0.9914997025012274,0.9985003440043306,0.9977005649173002,,0.9989137524208861,0.9867538070438749,0.9938434376681461
distilroberta-base,0.9890077581443409,0.9999214369213232,0.9931092530305831,0.9994804083710496,0.9979481256250813,0.9955839121820169,0.9995426009538663,0.9985250681740835,0.9987343367089097,,0.9940217205122394,0.9961961519687692
distilbert-base-uncased,0.9954724768985669,0.9999075781447424,0.9934351955386267,0.9990231238184251,0.9975151933142745,0.9955976752657395,0.9990397110361445,0.9981767392554788,0.9988372342252455,0.9994083679017549,,0.9962228022428825
albert-base-v2,0.9852418678717403,0.9999207817585398,0.9915196088366938,0.9987725904635744,0.9968491112681255,0.9944145859242132,0.9988332438836999,0.9982547187368188,0.9986456866962949,0.9992252400530086,0.9914234713352716,
